Module,"Field Name","Field Type",Label,"Label Source",Required,"Read Only",Custom,"Linked Entity","DB Table","DB Column(s)","DB Column Type(s)","Options / Definition Details"
Contact,accountRole,varchar,Title,i18n:fields,,,,,contact,"(not stored)",,"view=crm:views/contact/fields/account-role; notStorable=true"
Contact,accountType,foreign,"Account Type",i18n:fields,,yes,,,contact,"(not stored)",,view=views/fields/foreign-enum
Contact,accounts,linkMultiple,Accounts,i18n:fields,,,yes,Account,contact,"(not stored)",,view=crm:views/contact/fields/accounts
Contact,activityLogs,linkMultiple,"Activity Logs",auto,,,yes,ActivityLog,contact,"(not stored)",,
Contact,address,address,Address,i18n:fields,,,,,contact,address_street|address_city|address_state|address_country|address_postal_code,varchar(255)|varchar(100)|varchar(100)|varchar(100)|varchar(40),
Contact,addressCity,varchar,City,i18n:fields,,,,,contact,address_city,varchar(100),"maxLength=100; view=views/fields/address-city; pattern=$noBadCharacters"
Contact,addressCountry,varchar,Country,i18n:fields,,,,,contact,address_country,varchar(100),"maxLength=100; view=views/fields/address-country; pattern=$noBadCharacters"
Contact,addressMap,map,Map,i18n:fields,,yes,,,contact,"(not stored)",,notStorable=true
Contact,addressPostalCode,varchar,"Postal Code",i18n:fields,,,,,contact,address_postal_code,varchar(40),"maxLength=40; pattern=$noBadCharacters"
Contact,addressState,varchar,State,i18n:fields,,,,,contact,address_state,varchar(100),"maxLength=100; view=views/fields/address-state; pattern=$noBadCharacters"
Contact,addressStreet,text,Street,i18n:fields,,,,,contact,address_street,varchar(255),maxLength=255
Contact,assignedUser,link,"Assigned User",i18n:fields,,,,User,contact,assigned_user_id,varchar(17),view=views/fields/assigned-user
Contact,campaign,link,Campaign,i18n:fields,,,,Campaign,contact,campaign_id,varchar(17),
Contact,clientType,enum,"Client Type",i18n:fields,,,yes,,contact,client_type,varchar(255),"options=[|Personal|Commercial|Employee Benefits|Supplemental]"
Contact,contactDriveFolderUrl,url,"Drive Folder URL",i18n:fields,,,yes,,contact,contact_drive_folder_url,varchar(255),
Contact,contactType,enum,"Contact Type",i18n:fields,,,yes,,contact,contact_type,varchar(255),"options=[|Client|Prospect|Spouse|Dependent|Business Owner|Underwriter|Marketing Rep|Owner|CFO|CEO|VP|Employee]"
